iter	Passed	Remaining
0	33	67916
1	68	68124
2	108	72232
3	148	74135
4	186	74501
5	222	73918
6	256	72948
7	292	72792
8	330	73178
9	363	72338
10	404	73053
11	441	73105
12	473	72415
13	503	71492
14	534	70668
15	566	70222
16	596	69573
17	627	69093
18	658	68616
19	689	68301
20	724	68234
21	757	68123
22	788	67738
23	817	67309
24	848	67070
25	878	66674
26	907	66339
27	940	66223
28	971	66026
29	1002	65799
30	1033	65622
31	1064	65461
32	1097	65403
33	1128	65245
34	1158	65047
35	1188	64844
36	1219	64692
37	1251	64598
38	1283	64527
39	1315	64443
40	1346	64346
41	1378	64279
42	1411	64224
43	1444	64232
44	1479	64287
45	1513	64273
46	1546	64247
47	1579	64225
48	1612	64214
49	1644	64131
50	1675	64046
51	1708	64001
52	1742	64016
53	1778	64077
54	1810	64018
55	1843	64011
56	1879	64050
57	1911	63996
58	1944	63978
59	1977	63937
60	2009	63889
61	2042	63853
62	2076	63831
63	2108	63785
64	2150	64018
65	2184	64012
66	2217	63983
67	2250	63930
68	2284	63936
69	2319	63944
70	2352	63917
71	2386	63911
72	2419	63861
73	2451	63794
74	2483	63739
75	2517	63730
76	2550	63694
77	2583	63650
78	2627	63898
79	2671	64124
80	2712	64258
81	2751	64365
82	2789	64437
83	2827	64499
84	2865	64561
85	2901	64569
86	2941	64681
87	2974	64628
88	3006	64561
89	3039	64508
90	3072	64461
91	3104	64390
92	3137	64329
93	3170	64288
94	3203	64245
95	3236	64183
96	3268	64126
97	3301	64070
98	3332	63995
99	3365	63947
100	3400	63945
101	3434	63902
102	3469	63894
103	3502	63850
104	3536	63817
105	3568	63768
106	3602	63734
107	3638	63743
108	3687	63970
109	3720	63924
110	3751	63839
111	3784	63800
112	3817	63745
113	3849	63677
114	3881	63626
115	3916	63602
116	3948	63554
117	3980	63488
118	4011	63407
119	4043	63343
120	4076	63305
121	4108	63239
122	4139	63170
123	4170	63102
124	4205	63089
125	4238	63040
126	4271	62992
127	4305	62970
128	4338	62930
129	4373	62904
130	4407	62880
131	4439	62827
132	4474	62816
133	4506	62747
134	4540	62720
135	4572	62666
136	4603	62603
137	4635	62549
138	4669	62517
139	4701	62457
140	4733	62408
141	4764	62347
142	4799	62324
143	4831	62270
144	4864	62235
145	4895	62167
146	4928	62121
147	4961	62087
148	4994	62048
149	5028	62020
150	5061	61974
151	5093	61925
152	5124	61863
153	5156	61810
154	5189	61774
155	5222	61732
156	5254	61684
157	5288	61655
158	5322	61624
159	5359	61631
160	5393	61610
161	5428	61590
162	5461	61553
163	5497	61542
164	5529	61492
165	5562	61459
166	5594	61410
167	5626	61356
168	5661	61335
169	5694	61304
170	5726	61252
171	5760	61224
172	5795	61205
173	5829	61175
174	5862	61137
175	5894	61091
176	5926	61039
177	5959	61003
178	5992	60962
179	6026	60935
180	6059	60899
181	6092	60857
182	6125	60817
183	6158	60782
184	6191	60746
185	6223	60692
186	6254	60637
187	6288	60608
188	6320	60561
189	6354	60538
190	6390	60521
191	6421	60472
192	6453	60423
193	6487	60393
194	6520	60357
195	6555	60338
196	6587	60292
197	6621	60264
198	6654	60223
199	6686	60177
200	6719	60138
201	6750	60083
202	6786	60074
203	6818	60032
204	6852	60000
205	6884	59952
206	6916	59908
207	6949	59868
208	6981	59828
209	7016	59805
210	7047	59754
211	7080	59715
212	7112	59670
213	7143	59619
214	7175	59573
215	7207	59525
216	7242	59506
217	7276	59481
218	7308	59432
219	7341	59399
220	7375	59367
221	7407	59330
222	7440	59290
223	7475	59266
224	7509	59239
225	7544	59219
226	7575	59169
227	7609	59136
228	7641	59092
229	7673	59053
230	7706	59019
231	7739	58979
232	7770	58932
233	7803	58890
234	7838	58868
235	7871	58835
236	7904	58799
237	7936	58758
238	7968	58713
239	8001	58676
240	8034	58643
241	8067	58608
242	8099	58563
243	8131	58516
244	8164	58484
245	8197	58450
246	8230	58415
247	8265	58388
248	8296	58341
249	8329	58308
250	8362	58267
251	8394	58230
252	8427	58191
253	8458	58144
254	8492	58113
255	8527	58092
256	8558	58045
257	8589	57995
258	8620	57949
259	8652	57906
260	8684	57861
261	8715	57815
262	8747	57773
263	8779	57729
264	8811	57691
265	8846	57665
266	8876	57611
267	8908	57572
268	8941	57538
269	8974	57501
270	9007	57470
271	9041	57443
272	9073	57399
273	9106	57366
274	9138	57321
275	9171	57287
276	9203	57247
277	9236	57211
278	9266	57162
279	9299	57127
280	9333	57100
281	9366	57064
282	9398	57025
283	9429	56976
284	9461	56932
285	9493	56897
286	9530	56886
287	9562	56846
288	9593	56799
289	9625	56757
290	9658	56723
291	9691	56689
292	9726	56663
293	9757	56622
294	9790	56588
295	9823	56549
296	9856	56518
297	9888	56474
298	9923	56454
299	9955	56413
300	9988	56378
301	10022	56352
302	10054	56313
303	10087	56277
304	10121	56246
305	10153	56210
306	10184	56164
307	10218	56133
308	10252	56108
309	10283	56062
310	10316	56026
311	10348	55989
312	10379	55943
313	10410	55899
314	10443	55865
315	10477	55834
316	10511	55808
317	10547	55787
318	10591	55811
319	10622	55768
